"","sample","tissue","endometriosis","severity","p221532_s_at","p221531_at","p232075_at","WDR61"
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.583726,7.855202,6.184359,7.874429
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.369369,7.793205,5.679431,7.61400166666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.083893,5.953924,5.738514,6.59211033333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.354694,8.010073,5.98503,7.78326566666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.142489,6.468286,5.325669,6.64548133333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.059667,6.576807,5.299787,6.64542033333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.486064,6.468286,6.069883,7.00807766666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.931864,8.529774,6.32012,8.260586
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.48431,7.936234,5.969782,7.79677533333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.605201,7.22148,5.755896,7.19419233333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.776406,7.450088,6.240832,7.48910866666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.311466,6.869107,5.749894,7.31015566666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.795626,6.468286,5.140482,6.46813133333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.639284,6.950367,5.458753,7.01613466666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.480428,9.375896,6.822488,8.89293733333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.011219,7.746756,5.54041,7.432795
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.610532,7.283982,5.750167,7.21489366666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.178301,8.706577,6.089416,8.32476466666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.574491,7.917717,6.440157,7.977455
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.531301,4.969724,5.647549,6.04952466666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.80377,7.318509,7.033485,8.05192133333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.628107,6.827558,5.324429,6.926698
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.61601,6.467071,5.63885,6.90731033333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.104881,6.669288,5.983203,7.25245733333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.481767,6.576807,5.476276,6.84495
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.101249,8.740797,6.609204,8.48375
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.619156,7.207798,6.050933,7.292629
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.144893,5.579988,5.641401,6.45542733333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.873034,7.172697,5.774949,7.27356
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.545541,6.873072,5.911312,7.109975
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.911497,7.520703,6.14371,7.52530333333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.639718,7.517904,5.503136,7.22025266666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.795844,7.041471,5.899454,7.24558966666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.513728,8.61486,6.124981,8.084523
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.612338,7.84009,6.59127,8.014566
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.521185,8.621201,6.950937,8.69777433333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.621052,6.708322,6.528186,7.61918666666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.772266,8.453295,5.998515,8.074692
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.527801,9.414346,6.571257,8.83780133333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.901894,8.155044,6.481253,8.179397
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.573977,8.577489,6.072969,8.07481166666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.195827,9.062871,6.481253,8.57998366666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.972131,8.58086,6.481253,8.344748
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.385773,9.245893,6.722773,8.784813
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.739259,9.542595,6.948924,9.076926
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.728283,8.451464,6.414738,8.19816166666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.246152,8.717416,6.586459,8.51667566666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.359963,10.95679,7.823854,10.046869
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.44399,10.683447,7.410286,9.84590766666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.163729,10.739153,7.53097,9.811284
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.769411,9.895001,7.051351,9.23858766666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.868229,10.229866,7.132895,9.41033
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.246093,10.840015,7.373732,9.81994666666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.337946,10.864806,7.441436,9.881396
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.289522,10.544364,7.376924,9.73693666666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.988152,9.848395,7.193819,9.34345533333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.37476,10.939768,7.579378,9.96463533333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.996286,10.261301,7.128159,9.46191533333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.16884,10.173784,7.183768,9.50879733333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.489555,9.03546,6.825115,8.78337666666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.644452,10.619751,7.706313,9.990172
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.588049,11.306002,7.741969,10.2120066666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.416086,8.030587,5.793604,7.746759
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.984578,8.520261,6.192974,8.23260433333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.75134,9.843395,6.984708,9.19314766666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.382813,8.229864,5.858745,7.82380733333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.007207,7.001848,6.162347,7.39046733333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.912117,7.200106,5.500178,7.20413366666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.243526,8.976186,6.67803,8.63258066666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.563615,8.403037,6.141034,8.03589533333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.477983,7.773353,5.907238,7.71952466666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.630535,4.995842,5.481923,6.0361
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.552744,7.199758,5.470452,7.074318
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.692296,8.28296,6.369576,8.114944
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.775098,6.980968,5.701597,7.15255433333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.007991,8.383567,5.900683,8.09741366666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.67077,8.168376,6.274647,8.037931
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.755314,7.111895,5.814516,7.22724166666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.300849,6.390663,5.997388,6.8963
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.642205,5.579988,6.57519,6.932461
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.102655,8.588611,6.472809,8.388025
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.359918,9.183879,6.812393,8.78539666666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.349707,7.211177,6.069989,7.54362433333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.075076,7.305012,6.226399,7.53549566666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.467106,7.231111,6.184974,7.62773033333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.511267,7.50519,5.850365,7.622274
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.084481,8.93084,6.702708,8.57267633333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.227995,6.399439,5.204403,6.61061233333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.081612,8.554895,6.482039,8.37284866666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.704037,8.373721,6.224914,8.10089066666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.137061,6.939614,6.084146,7.38694033333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.132382,8.053948,5.933545,7.706625
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.055728,8.469021,6.481253,8.335334
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.596569,9.427057,6.641362,8.554996
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.707529,9.207846,6.552981,8.489452
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.695357,8.980282,6.481253,8.38563066666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.976279,9.477148,6.567723,8.67371666666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.573352,9.703251,7.181248,9.152617
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.791825,10.040521,7.25549,9.362612
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.792917,9.800539,7.125593,9.239683
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.706098,8.349708,6.872173,8.30932633333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.311079,9.24193,6.727955,8.76032133333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.45989,9.399278,7.102254,8.98714066666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.507702,9.259185,6.917468,8.894785
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.485864,9.745887,6.683027,8.97159266666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.226702,9.087902,6.908936,8.74118
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.088024,9.38772,6.455996,8.64391333333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.107023,9.284696,6.481253,8.624324
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.318543,9.7173,6.481253,8.839032
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.606073,9.731805,7.125757,9.154545
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.73105,8.791803,6.189662,8.237505
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.079455,10.295949,7.397987,9.59113033333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.809503,9.796376,7.0838,9.229893
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.715929,10.040412,7.215582,9.32397433333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.442074,10.081939,6.993394,9.172469
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.121678,9.130303,6.801827,8.68460266666667
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.305816,9.245125,6.481253,8.677398
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.21838,9.050754,6.506963,8.59203233333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.047161,9.203332,6.429732,8.560075
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.162017,9.392797,6.69325,8.74935466666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.035106,10.247871,7.470534,9.58450366666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.624598,9.635742,7.012884,9.09107466666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.064228,7.662106,5.63885,7.45506133333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.964615,10.28125,7.47401,9.57329166666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.778533,9.223213,6.433602,8.47844933333333
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.77147,9.904544,7.320275,9.33209633333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.009899,10.064344,7.440773,9.50500533333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.024923,10.28647,7.37752,9.562971
