"","sample","tissue","endometriosis","severity","p200976_s_at","p213786_at","TAX1BP1"
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.904791,6.547161,7.725976
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.412726,6.263013,7.3378695
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.972761,6.394166,7.1834635
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.185039,5.986939,7.085989
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.459642,6.327851,7.3937465
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.343989,6.449141,7.896565
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.64139,7.505768,8.573579
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.827406,8.160893,9.4941495
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.531058,7.441788,8.486423
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.652302,7.688172,9.170237
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.707195,8.15056,9.4288775
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.670743,6.547161,8.108952
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.101261,6.379211,7.740236
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.604884,7.459487,9.0321855
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.20621,7.292787,8.7494985
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.631,8.055265,9.3431325
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.888489,7.915231,9.40186
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.772824,6.927817,8.3503205
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.439625,7.415268,8.9274465
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.651612,9.382037,10.0168245
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.949478,9.338196,10.143837
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.199717,9.636096,10.4179065
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.00209,8.780959,9.8915245
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.930037,8.966474,9.9482555
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.961848,8.746475,9.8541615
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.139986,8.81231,9.976148
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.116359,8.497308,9.8068335
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.043623,9.322188,10.1829055
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.011296,9.475233,10.2432645
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.114352,8.727324,9.920838
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.906053,8.479691,9.692872
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.144365,7.733572,9.4389685
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.045649,8.794199,9.919924
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.67112,9.136898,9.904009
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.843491,7.233303,8.538397
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.957338,7.441788,9.199563
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.493365,8.350566,9.4219655
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.211647,7.039634,8.1256405
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.592676,6.111334,7.352005
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.253897,6.266399,7.760148
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.727085,7.488287,8.607686
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.008274,6.559711,7.7839925
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.030534,6.566974,8.298754
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.081957,6.647813,7.364885
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.53809,6.190113,7.3641015
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.377174,7.441788,8.909481
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.390613,5.800922,7.5957675
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.569285,6.628301,8.098793
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.81891,7.192949,8.5059295
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.873936,6.305134,8.089535
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.780788,6.750263,7.7655255
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.794684,7.067262,7.930973
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.11113,7.413063,8.7620965
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.485301,7.435613,8.960457
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.068874,7.340829,8.7048515
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.882578,6.547161,7.7148695
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.928886,6.849971,8.3894285
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.79592,6.537105,8.1665125
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.189695,7.120405,8.15505
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.191155,6.547161,7.869158
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.947864,7.188061,8.5679625
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.407908,7.06485,8.236379
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.652289,5.996335,7.824312
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.614272,6.547161,8.0807165
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.714311,7.242846,8.4785785
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.965816,9.181485,9.5736505
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.462142,8.686035,9.5740885
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.976481,7.598111,8.787296
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.865329,8.404387,9.134858
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.23881,8.913021,9.5759155
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.290843,7.441788,8.8663155
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.244291,7.679595,8.961943
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",11.04177,8.908356,9.975063
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.614009,8.020176,9.3170925
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",11.264706,7.913571,9.5891385
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.430939,9.275815,10.353377
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.831286,8.881005,9.8561455
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.174514,8.445624,9.810069
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.249865,9.222945,10.236405
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.93485,8.717053,9.8259515
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.179733,8.21513,9.6974315
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.996291,9.099639,10.047965
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.089402,8.386677,9.7380395
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.599719,8.487296,10.0435075
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.201379,8.900199,10.050789
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.852404,8.517497,9.6849505
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.88677,9.178073,10.0324215
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.039325,7.891613,9.465469
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.891208,9.041006,9.966107
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.144039,8.503957,9.823998
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.205421,8.486645,9.846033
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.938725,8.703197,9.820961
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.080715,8.425652,9.7531835
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.79631,8.623316,9.709813
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.93333,8.173522,9.553426
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.213912,8.717177,9.9655445
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.234001,8.424379,9.82919
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.913584,8.219522,9.566553
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.387893,8.662495,10.025194
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.523495,8.950932,10.2372135
