"","sample","tissue","endometriosis","severity","p208132_x_at","p212081_x_at","p214201_x_at","PRRC2A"
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.004479,8.202702,7.327809,7.84499666666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.251578,9.398659,9.484806,9.37834766666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.520085,9.508851,9.762996,9.59731066666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.290829,9.411981,9.242812,9.31520733333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.747931,9.825372,9.964033,9.84577866666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.867212,10.020584,10.155506,10.014434
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.671308,9.845375,10.014486,9.843723
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.165906,10.311231,10.359323,10.27882
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.215879,10.329417,10.48309,10.3427953333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.740894,9.889585,9.847921,9.82613333333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.828525,9.028102,9.3849,9.080509
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.095939,10.15359,10.165224,10.138251
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.647338,10.649031,10.737611,10.6779933333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.079439,10.144687,10.075615,10.0999136666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.60087,10.728949,10.654566,10.6614616666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.16458,10.292344,10.138596,10.1985066666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.255793,8.294209,8.448595,8.33286566666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.302446,9.359764,9.466353,9.37618766666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.947485,10.058442,10.285146,10.0970243333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.551219,8.642435,8.666442,8.620032
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.690637,9.712685,9.994037,9.79911966666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.423307,10.405213,10.604951,10.4778236666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.885318,9.911272,10.10062,9.96573666666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.568313,9.545057,9.443173,9.51884766666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.142936,9.012935,9.499018,9.21829633333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.480663,9.507498,9.675038,9.55439966666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.590074,9.628434,9.7661,9.661536
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.494335,9.541142,9.866902,9.63412633333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.064835,10.057941,10.304485,10.1424203333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.474991,9.550291,9.866424,9.63056866666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.522705,9.511976,9.823642,9.619441
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.674606,9.717822,9.993915,9.79544766666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.001064,10.125013,10.251582,10.1258863333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.503445,9.443834,9.801291,9.58285666666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.263876,9.308921,9.707119,9.42663866666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.906295,10.003754,9.977167,9.96240533333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.694094,9.475914,9.89781,9.68927266666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.338963,8.294453,8.840741,8.49138566666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.682476,9.751607,9.913086,9.78238966666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.167766,9.099326,9.280023,9.18237166666667
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.015368,8.062063,8.13537,8.07093366666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.262081,9.19321,9.28887,9.24805366666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.267753,9.467009,9.513486,9.41608266666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.973393,9.174833,8.790028,8.979418
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.881939,8.910456,9.06592,8.95277166666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.480314,8.62947,8.661631,8.59047166666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.248114,8.386834,8.346504,8.32715066666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.463057,10.459529,10.377536,10.433374
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.735793,9.951137,9.67316,9.78669666666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.479061,6.832725,7.226038,6.84594133333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.470216,7.483196,7.880588,7.61133333333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.827807,7.729775,8.053813,7.870465
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.273593,7.361002,7.330506,7.32170033333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.453475,7.671381,7.805536,7.643464
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.31819,7.495548,7.692933,7.50222366666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.653765,7.926575,8.006424,7.86225466666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.486314,7.64027,7.806935,7.64450633333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.46481,7.467005,7.595316,7.50904366666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.835644,7.134215,7.496117,7.15532533333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.346525,7.33872,7.825409,7.50355133333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.60912,7.662366,7.973137,7.74820766666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.659023,8.790105,8.753581,8.73423633333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.345396,7.617095,7.66749,7.543327
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.491331,7.604901,7.820222,7.638818
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.395134,9.545728,9.361021,9.433961
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.845295,9.097742,9.048876,8.99730433333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.170659,9.316037,9.222135,9.236277
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.155392,9.191891,9.180272,9.17585166666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.76498,10.801747,10.672944,10.746557
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.491945,9.889112,9.427642,9.60289966666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.498078,9.500496,9.442798,9.48045733333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.810962,9.952532,9.978647,9.914047
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.508777,9.551068,9.402462,9.48743566666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.973784,9.918667,10.32109,10.0711803333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.72914,9.740421,9.596989,9.68885
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.979846,9.082289,9.281494,9.114543
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.661644,9.500383,9.936183,9.69940333333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.489082,9.735263,9.645507,9.623284
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.929643,8.969646,9.140847,9.01337866666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.450693,9.546509,9.806503,9.601235
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.299158,10.513853,10.857606,10.5568723333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.214829,10.342766,11.012986,10.523527
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.854308,9.972793,9.88495,9.904017
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.459903,9.26736,9.706528,9.47793033333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.26067,9.337992,9.48679,9.36181733333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.625125,10.727192,10.674572,10.6756296666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.726176,9.781219,9.906972,9.804789
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.809281,9.838238,9.830903,9.82614066666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.872798,9.833499,9.912244,9.872847
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.85,9.944384,9.565174,9.78651933333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.75789,9.836161,10.204207,9.93275266666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.68012,9.829855,9.730794,9.746923
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.232318,10.292117,9.667289,10.063908
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.715559,9.747271,9.884895,9.782575
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.257945,9.347905,9.509518,9.37178933333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.379141,8.292597,7.11381,7.928516
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.491265,8.956858,8.126311,8.52481133333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.798277,8.94721,8.300809,8.68209866666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.656148,8.792704,7.757257,8.40203633333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.845295,9.006185,8.949856,8.93377866666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.845295,8.956858,8.59966,8.80060433333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.845295,9.425692,8.470394,8.91379366666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.930813,8.967472,9.198663,9.032316
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.657434,8.829807,8.988494,8.825245
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.412491,8.368108,8.709108,8.496569
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.369688,8.454259,8.553284,8.459077
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.702111,8.68503,8.783131,8.723424
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.970241,7.919657,8.033932,7.97461
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.348853,8.520831,8.606033,8.49190566666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.452425,8.641772,8.683365,8.59252066666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.074507,8.099519,8.180025,8.118017
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.703066,8.956858,8.956802,8.872242
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.046978,8.198463,8.25493,8.16679033333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.094016,6.994993,7.710898,7.26663566666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.283947,8.36866,8.496022,8.38287633333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.406314,8.512206,8.546451,8.48832366666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.389165,8.403913,8.489845,8.427641
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.843914,7.926402,7.98782,7.91937866666667
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.695835,7.820862,8.06271,7.85980233333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.697129,8.832456,9.025605,8.85173
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.465482,7.51788,7.593605,7.52565566666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.910051,8.056322,8.045571,8.00398133333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.199426,8.43108,8.406381,8.345629
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.836075,8.781657,8.944053,8.85392833333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.295979,8.382679,8.658403,8.445687
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.831667,7.896917,8.175052,7.96787866666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.9012,7.939849,7.943934,7.92832766666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.333396,8.485854,8.410266,8.40983866666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.176479,8.357897,8.473554,8.33597666666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.420686,8.467402,8.564339,8.48414233333333
