"","sample","tissue","endometriosis","severity","p203265_s_at","p203266_s_at","MAP2K4"
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.692716,8.797069,7.7448925
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.051949,6.782962,5.9174555
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.659085,6.710785,5.184935
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.730793,8.196383,6.463588
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.779862,6.352802,5.066332
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.659085,6.260318,4.9597015
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.779862,7.60642,5.693141
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.91063,6.32698,5.118805
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.895206,5.715583,4.8053945
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.595584,7.860563,6.2280735
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.935187,6.559818,5.2475025
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.007731,6.999577,5.503654
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.659085,6.363713,5.011399
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.784084,6.284263,5.0341735
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.007731,6.836098,5.4219145
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.175365,6.720555,5.44796
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.779862,6.564451,5.1721565
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.779862,6.142201,4.9610315
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.852901,6.243709,5.048305
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.779862,7.023491,5.4016765
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.175737,7.543286,5.8595115
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.008218,8.400832,6.704525
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.737127,7.001799,5.369463
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.551413,8.164815,6.858114
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.866989,8.271328,7.0691585
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.725735,7.860217,6.292976
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.772145,7.499401,6.135773
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.026775,8.006386,6.5165805
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.652465,7.935123,6.293794
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.14332,7.768709,6.4560145
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.710642,8.910315,7.3104785
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.704902,7.181862,5.443382
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.795644,7.598314,6.196979
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.695916,8.711503,7.7037095
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.176109,8.866028,8.0210685
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.641774,8.695607,7.6686905
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.282681,8.738533,8.010607
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.862246,8.754759,7.8085025
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.14473,8.811077,7.9779035
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.903079,8.843489,7.873284
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.499924,9.075496,8.28771
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.325863,8.600226,7.4630445
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.665719,8.844167,7.754943
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.603896,8.654391,8.1291435
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.219531,8.754104,7.9868175
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.725649,8.270383,6.998016
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.090836,8.860313,7.9755745
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.063826,8.712719,7.8882725
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.045445,7.39099,6.2182175
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.522708,8.824574,7.173641
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.369985,8.18897,6.7794775
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.249183,7.194913,6.222048
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.90964,6.724622,5.317131
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.616798,6.832548,5.724673
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.909071,7.860217,6.384644
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.215222,6.884464,5.549843
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.686226,8.138609,6.4124175
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.779862,6.383267,5.0815645
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.142747,6.867348,5.5050475
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.982883,8.00632,6.4946015
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.786277,6.988832,5.3875545
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.983246,7.851052,6.417149
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.007731,7.203024,5.6053775
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.91292,7.115913,5.5144165
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.659085,6.999577,5.329331
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.779862,6.999577,5.3897195
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.574349,7.752492,6.1634205
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.469171,7.863194,6.1661825
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.007731,7.607671,5.807701
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.697403,6.942814,5.3201085
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.779862,7.472312,5.626087
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.535799,7.649775,6.092787
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.535457,7.611461,6.073459
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.205945,6.779739,5.492842
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.008002,7.754299,5.8811505
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.492767,7.390598,6.4416825
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.032049,6.952663,5.492356
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.946514,7.995271,6.4708925
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.076973,8.35313,6.7150515
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.752591,7.609364,6.1809775
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.210251,7.65,6.4301255
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.425721,7.891744,6.6587325
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.941838,7.577004,6.259421
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.625937,7.860217,6.243077
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.315351,7.810981,6.563166
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.490647,7.131314,5.8109805
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.82545,8.621471,6.7234605
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.766783,8.308029,7.037406
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.589031,8.982629,7.78583
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.226155,9.00499,7.6155725
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.591211,8.671393,7.131302
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.361043,8.797071,7.579057
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.109996,8.841077,7.4755365
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.132754,8.765316,7.449035
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.011632,8.436919,7.2242755
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.378924,8.95342,7.166172
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.012512,8.341461,7.1769865
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.550144,8.831347,8.1907455
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.234881,8.751739,7.49331
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.459962,8.543724,7.501843
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.214562,9.186457,7.7005095
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.869042,8.488811,7.1789265
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.23775,8.777252,7.507501
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.468292,8.985909,7.7271005
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.598476,8.290551,7.4445135
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.133703,8.851931,7.492817
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.753092,8.721143,7.7371175
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.421443,9.008029,7.214736
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.71522,8.144926,7.430073
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.649066,8.671354,7.66021
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.469217,8.194352,7.3317845
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.567176,8.690966,7.629071
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.368387,8.792515,7.580451
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.467866,8.841251,7.6545585
