"","sample","tissue","endometriosis","severity","p205887_x_at","p210947_s_at","MSH3"
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.638514,3.906248,5.772381
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.48759,4.496445,5.9920175
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.29924,4.1518,5.72552
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.441261,4.742118,6.0916895
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.638514,3.020057,5.3292855
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.90129,4.790159,6.3457245
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.638514,5.562614,6.600564
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.697673,5.442472,6.5700725
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.638514,4.931181,6.2848475
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.436136,3.55071,5.493423
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.626665,4.673976,6.1503205
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.638514,5.363299,6.5009065
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.485047,5.056106,6.2705765
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.561723,4.1518,5.8567615
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.659912,5.655643,6.6577775
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.393833,4.729672,6.0617525
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.152924,4.90412,6.028522
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.638514,5.048336,6.343425
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.638514,5.365042,6.501778
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.459808,5.365042,6.912425
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.306718,6.336252,7.321485
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.160247,5.713079,6.936663
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.921846,5.656508,6.789177
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.803923,6.953995,7.378959
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.638514,6.06625,6.852382
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.216665,5.591903,6.904284
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.021353,4.655198,6.3382755
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.03149,5.365042,6.698266
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.720765,5.905192,6.8129785
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.694378,5.592522,6.64345
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.688688,5.684513,6.6866005
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.675647,5.832789,6.754218
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.03148,5.481831,6.7566555
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.769247,4.776876,6.2730615
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.902365,5.365042,6.6337035
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.30445,5.209269,6.7568595
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.711586,5.294954,6.50327
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.638514,7.328207,7.4833605
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.979826,6.610903,7.2953645
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.800838,6.542316,7.171577
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.075714,5.827438,6.951576
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.638514,5.502933,6.5707235
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.92432,5.891623,6.9079715
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.784134,5.537682,6.660908
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.723842,6.000851,6.8623465
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.055159,5.312487,6.683823
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.638514,6.014748,6.826631
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.638514,5.365042,6.501778
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.800002,4.262275,6.0311385
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.813708,6.464735,7.1392215
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.894851,5.617686,6.7562685
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.659318,5.945125,6.8022215
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.839086,6.141675,6.9903805
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.322076,6.332317,7.3271965
