"","sample","tissue","endometriosis","severity","p44146_at","p222251_s_at","GMEB2"
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.113709,8.169609,8.641659
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.620809,8.03425,8.3275295
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.190184,8.173958,8.682071
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.119903,8.257692,8.6887975
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.65333,8.20354,8.428435
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.297927,8.8892,9.0935635
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.267825,8.463784,8.8658045
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.481607,7.781344,8.1314755
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.301516,7.380603,7.8410595
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.089395,7.839241,8.464318
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.016716,7.669924,8.34332
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.607301,7.669058,8.1381795
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.736243,8.719535,9.227889
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.97258,8.060218,8.516399
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.991195,7.221395,7.606295
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.097241,8.325447,8.711344
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.421329,8.592901,9.007115
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.338747,7.476281,7.907514
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.98276,7.989576,8.486168
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.746419,8.900241,9.32333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.737544,7.693837,8.2156905
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.387916,8.437617,8.9127665
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.749062,7.587721,8.1683915
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.514982,7.604853,8.0599175
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.863352,8.014088,8.43872
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.604613,7.831661,8.218137
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.404834,8.339368,8.872101
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.770282,8.727534,9.248908
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.437552,8.574754,9.006153
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.459429,8.375477,8.917453
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.17231,8.35339,8.76285
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.955665,8.177968,8.5668165
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.978613,7.988693,8.483653
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.700645,8.150369,8.425507
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.771195,7.926388,8.3487915
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.697944,7.172795,7.4353695
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.999935,8.025758,8.5128465
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.22625,7.509621,7.8679355
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.16479,7.190035,7.6774125
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.276055,8.347558,8.8118065
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.562707,7.677725,8.120216
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.981428,7.231052,7.60624
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.109583,7.517618,7.8136005
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.38809,6.632416,7.010253
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.988449,7.218603,7.603526
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.521405,7.824262,8.1728335
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.658536,7.59809,8.128313
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.206286,6.374562,6.790424
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.18975,6.421923,6.8058365
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.034542,6.375335,6.7049385
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.217004,6.462989,6.8399965
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.200533,6.716989,6.958761
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.831586,6.342099,6.5868425
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.003573,6.162645,6.583109
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.031317,6.364997,6.698157
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.178973,6.581741,6.880357
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.297847,6.561682,6.9297645
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.244139,6.435652,6.8398955
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.214388,6.542955,6.8786715
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.651469,7.257077,7.454273
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.041961,6.421923,6.731942
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.164777,6.526548,6.8456625
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.362815,7.503559,7.933187
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.184078,7.147977,7.6660275
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.058491,7.231052,7.6447715
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.950564,8.025102,8.487833
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.648302,8.696724,9.172513
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.929787,8.285111,8.607449
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.34698,7.231052,7.789016
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.817624,7.851088,8.334356
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.932564,8.001465,8.4670145
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.780991,7.846482,8.3137365
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.690185,8.757582,9.2238835
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.383437,7.624148,8.0037925
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.479932,8.486613,8.9832725
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.464864,7.539709,8.0022865
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.3809,7.495894,7.938397
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.052514,8.122654,8.587584
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.266505,8.444477,8.855491
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.647858,8.761708,9.204783
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.42398,7.780586,8.102283
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.278571,7.593833,7.936202
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.831593,7.923425,8.377509
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.298335,8.397991,8.848163
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.915848,8.222753,8.5693005
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.496978,7.793056,8.145017
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.14603,7.300391,7.7232105
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.821992,8.151131,8.4865615
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.48593,7.732833,8.1093815
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.323628,7.469609,7.8966185
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.538892,7.231052,7.884972
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.710591,7.935686,8.3231385
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.854225,8.22381,8.5390175
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.720717,5.914586,6.3176515
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.67115,6.31978,6.495465
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.695192,6.28406,6.489626
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.231188,6.278076,6.254632
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.583647,5.789614,6.1866305
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.911125,6.001829,6.456477
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.834621,6.544043,6.689332
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.394931,6.533912,6.9644215
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.952443,6.421923,6.687183
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.033917,6.32917,6.6815435
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.474039,6.69723,7.0856345
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.848125,6.237561,6.542843
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.155121,6.376231,6.765676
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.119754,6.54663,6.833192
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.333341,6.505741,6.919541
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.987152,6.143298,6.565225
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.957799,6.329038,6.6434185
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.242201,6.623602,6.9329015
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.094831,6.41933,6.7570805
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.806785,6.199016,6.5029005
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.836903,6.269349,6.553126
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.74491,6.424692,6.584801
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.978021,6.193913,6.585967
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.937766,6.274175,6.6059705
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.244876,6.734177,6.9895265
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.844902,6.13582,6.490361
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.18293,6.319087,6.7510085
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.081713,6.440866,6.7612895
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.653508,5.93788,6.295694
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.072865,7.231052,7.6519585
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.901368,6.348462,6.624915
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.330702,6.406477,6.8685895
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.993487,6.269726,6.6316065
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.211621,6.297726,6.7546735
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.066396,6.397102,6.731749
