"","sample","tissue","endometriosis","severity","p203666_at","p209687_at","CXCL12"
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.643442,6.285814,5.464628
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.027322,12.236033,11.1316775
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.961984,11.093587,9.0277855
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.598842,9.796147,7.6974945
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.278903,11.625548,9.4522255
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.106521,10.348844,8.2276825
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.693083,11.302485,9.497784
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.028131,12.204893,10.116512
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.883558,10.940286,8.411922
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.800555,11.054451,8.427503
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.67055,11.59636,9.633455
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.678716,10.950418,8.314567
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.77713,11.663726,9.220428
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.975465,9.918635,7.94705
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.95125,12.047521,10.4993855
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.678716,10.629553,8.1541345
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.582161,10.540378,8.0612695
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.678716,9.110852,7.394784
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.912377,11.526175,9.219276
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.113216,11.63793,9.375573
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.05622,8.45884,6.75753
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.763806,11.375956,9.069881
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.678716,10.030596,7.854656
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.079151,11.645179,9.862165
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.624341,10.678164,8.6512525
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.393492,10.150546,7.772019
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.485734,10.958549,9.2221415
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.964726,12.250429,10.1075775
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.849903,11.347195,9.598549
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.678716,10.693419,8.1860675
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.409723,9.129491,7.269607
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.820016,8.507581,6.6637985
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.969287,8.370408,6.1698475
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.05622,9.651307,7.3537635
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.678716,10.480419,8.0795675
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.764588,11.107274,8.935931
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.05622,9.591381,7.3238005
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.519057,12.130317,9.824687
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.739576,11.101143,9.4203595
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.787545,10.55017,8.1688575
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.402106,10.798881,9.1004935
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.214135,10.843952,9.0290435
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.938603,9.869482,7.9040425
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.05622,9.180939,7.1185795
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.491476,11.786966,10.139221
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.82551,9.327198,7.576354
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.925974,10.93949,9.432732
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.484465,9.217412,7.3509385
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.053055,13.477352,11.7652035
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.873796,12.675633,11.2747145
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.575348,11.747321,10.1613345
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.243255,10.707666,8.9754605
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.439797,11.607501,10.023649
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.895158,11.589724,10.242441
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.510888,9.263371,7.3871295
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.852955,11.440949,10.146952
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.949036,11.682129,10.3155825
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.246506,10.153767,8.2001365
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.73327,9.147542,7.440406
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.785412,12.193316,10.489364
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.670931,10.756381,9.213656
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.063924,12.560299,10.8121115
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.434289,7.110058,5.7721735
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.512484,11.655487,10.0839855
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.778987,12.053886,10.4164365
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.992607,12.199469,10.096038
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.187149,8.985805,7.586477
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.206788,11.85326,10.530024
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.742652,11.339162,9.040907
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.689362,11.58966,9.139511
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.489569,12.884475,11.187022
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.284545,12.076676,10.1806105
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.413397,12.352807,10.383102
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.075566,7.718183,6.3968745
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.89104,11.026094,8.458567
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.834526,11.461785,9.6481555
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.494829,9.928507,8.211668
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.061121,8.937804,6.9994625
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.819242,10.876019,8.8476305
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.659864,10.92531,9.292587
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.164356,11.09833,8.631343
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.05622,8.865753,6.9609865
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.509755,9.486315,7.498035
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.895111,10.454039,8.674575
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.972028,12.139526,10.055777
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.407349,11.312445,9.859897
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.451329,11.626959,9.539144
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.075566,8.332108,6.703837
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.451379,10.462022,8.4567005
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.913774,11.76604,10.339907
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.327262,10.387508,8.857385
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.904826,11.136379,9.5206025
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.52543,11.71318,9.619305
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.819691,10.940559,9.380125
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.678716,9.749195,7.7139555
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.279804,10.05702,8.168412
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.103408,10.599289,9.3513485
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.718365,7.670692,6.6945285
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.643186,10.228878,9.436032
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.283591,9.759802,8.0216965
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.533404,10.938069,9.7357365
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.354136,11.029032,9.691584
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.785975,10.76431,9.7751425
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.367939,13.152932,10.7604355
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.781811,10.74769,9.2647505
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.120045,9.5575,7.8387725
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.075566,7.144728,6.110147
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.428925,13.001339,11.715132
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.231511,8.511111,6.871311
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.360976,8.952489,7.6567325
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.911856,8.419521,7.1656885
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.372881,8.388805,6.880843
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.352142,12.771794,11.561968
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.270213,10.140059,8.705136
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.217321,10.327162,8.2722415
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.157778,9.743202,8.45049
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.646651,11.290851,9.968751
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.063077,9.112555,7.587816
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.961668,10.893238,9.427453
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.700829,8.186095,6.943462
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.708487,10.358993,8.53374
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.31292,11.644895,9.9789075
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.795963,7.046657,5.92131
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.58613,11.426979,10.0065545
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.181532,11.717339,10.4494355
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.815374,6.651299,5.2333365
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.882203,11.692524,10.2873635
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.568318,11.353789,9.9610535
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.608877,11.787504,10.6981905
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.78129,10.896734,9.339012
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.091896,10.118889,8.6053925
